model,train_type,train_data,architecture,model_class,task_cluster,model_display_name,description,model_source,model_source_url,weights_url,model_string,compare_training,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_expertise,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
RegNet-128Gf-SEER,seer,random1B,RegNet-128Gf,Convolutional,SelfSupervised,RegNet-128Gf-SEER,RegNet-128Gf trained via large-scale self-supervision on 1 billion images.,seer,https://github.com/facebookresearch/vissl/blob/main/MODEL_ZOO.md#seer,,RegNet-128Gf-SEER_seer,,,,,,,,,,
RegNet-128Gf-SEER-INFT,seer,random1B,RegNet-128Gf,Convolutional,SelfSupervised,RegNet-128Gf-SEER-INFT,RegNet-128Gf trained via large-scale self-supervision on 1 billion images.,seer,https://github.com/facebookresearch/vissl/blob/main/MODEL_ZOO.md#seer,,RegNet-128Gf-SEER-INFT_seer,,,,,,,,,,
alexnet_gn_ipcl_imagenet,ipcl,imagenet,alexnet_gn,Convolutional,,AlexNet-GN-IPCLImageNet,AlexNet (modified with GroupNorm) trained via IPCL-Style-Self-Supervision on ImageNet.,open_ipcl,https://github.com/harvard-visionlab/open_ipcl,,alexnet_gn_ipcl_imagenet_ipcl,,,,,,,imagenet,,,
alexnet_gn_ipcl_openimages,ipcl,openimages,alexnet_gn,Convolutional,,AlexNet-GN-IPCLOpenImages,AlexNet (modified with GroupNorm) trained via IPCL-Style-Self-Supervision on OpenImages.,open_ipcl,https://github.com/harvard-visionlab/open_ipcl,,alexnet_gn_ipcl_openimages_ipcl,,,,,,,openimages,,,
alexnet_gn_ipcl_places256,ipcl,places256,alexnet_gn,Convolutional,,AlexNet-GN-IPCLPlaces256,AlexNet (modified with GroupNorm) trained via IPCL-Style-Self-Supervision on Places256.,open_ipcl,https://github.com/harvard-visionlab/open_ipcl,,alexnet_gn_ipcl_places256_ipcl,,,,,,,places256,,,
alexnet_gn_ipcl_vggface2,ipcl,vggface2,alexnet_gn,Convolutional,,AlexNet-GN-IPCLVGGFace2,AlexNet (modified with GroupNorm) trained via IPCL-Style-Self-Supervision on VGGFace2.,open_ipcl,https://github.com/harvard-visionlab/open_ipcl,,alexnet_gn_ipcl_vggface2_ipcl,,,,,,,vggface2,,,
BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,Expertise,BiT-Expert-ResNet-V2-Food,"ResNet50-V2 trained first via ImageNet21K dataset, then as an expert on the Food subset.",bit_expert,https://tfhub.dev/google/collections/experts/bit/1,,BiT-Expert-ResNet-V2-Food_bit_expert,,,,,,Food,,,,
BiT-Expert-ResNet-V2-Vehicle,bit_expert,big_transfer,ResNet50-V2,Convolutional,Expertise,BiT-Expert-ResNet-V2-Vehicle,"ResNet50-V2 trained first via ImageNet21K dataset, then as an expert on the Vehicle subset.",bit_expert,https://tfhub.dev/google/collections/experts/bit/1,,BiT-Expert-ResNet-V2-Vehicle_bit_expert,,,,,,Vehicle,,,,
BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,Expertise,BiT-Expert-ResNet-V2-Instrument,"ResNet50-V2 trained first via ImageNet21K dataset, then as an expert on the Instrument subset.",bit_expert,https://tfhub.dev/google/collections/experts/bit/1,,BiT-Expert-ResNet-V2-Instrument_bit_expert,,,,,,Instrument,,,,
BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,Expertise,BiT-Expert-ResNet-V2-Flower,"ResNet50-V2 trained first via ImageNet21K dataset, then as an expert on the Flower subset.",bit_expert,https://tfhub.dev/google/collections/experts/bit/1,,BiT-Expert-ResNet-V2-Flower_bit_expert,,,,,,Flower,,,,
BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,Expertise,BiT-Expert-ResNet-V2-Animal,"ResNet50-V2 trained first via ImageNet21K dataset, then as an expert on the Animal subset.",bit_expert,https://tfhub.dev/google/collections/experts/bit/1,,BiT-Expert-ResNet-V2-Animal_bit_expert,,,,,,Animal,,,,
BiT-Expert-ResNet-V2-Object,bit_expert,big_transfer,ResNet50-V2,Convolutional,Expertise,BiT-Expert-ResNet-V2-Object,"ResNet50-V2 trained first via ImageNet21K dataset, then as an expert on the Object subset.",bit_expert,https://tfhub.dev/google/collections/experts/bit/1,,BiT-Expert-ResNet-V2-Object_bit_expert,,,,,,Object,,,,
BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,Expertise,BiT-Expert-ResNet-V2-Bird,"ResNet50-V2 trained first via ImageNet21K dataset, then as an expert on the Bird subset.",bit_expert,https://tfhub.dev/google/collections/experts/bit/1,,BiT-Expert-ResNet-V2-Bird_bit_expert,,,,,,Bird,,,,
BiT-Expert-ResNet-V2-Mammal,bit_expert,big_transfer,ResNet50-V2,Convolutional,Expertise,BiT-Expert-ResNet-V2-Mammal,"ResNet50-V2 trained first via ImageNet21K dataset, then as an expert on the Mammal subset.",bit_expert,https://tfhub.dev/google/collections/experts/bit/1,,BiT-Expert-ResNet-V2-Mammal_bit_expert,,,,,,Mammal,,,,
BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,Expertise,BiT-Expert-ResNet-V2-Arthropod,"ResNet50-V2 trained first via ImageNet21K dataset, then as an expert on the Arthropod subset.",bit_expert,https://tfhub.dev/google/collections/experts/bit/1,,BiT-Expert-ResNet-V2-Arthropod_bit_expert,,,,,,Arthropod,,,,
BiT-Expert-ResNet-V2-Relation,bit_expert,big_transfer,ResNet50-V2,Convolutional,Expertise,BiT-Expert-ResNet-V2-Relation,"ResNet50-V2 trained first via ImageNet21K dataset, then as an expert on the Relation subset.",bit_expert,https://tfhub.dev/google/collections/experts/bit/1,,BiT-Expert-ResNet-V2-Relation_bit_expert,,,,,,Relation,,,,
BiT-Expert-ResNet-V2-Abstraction,bit_expert,big_transfer,ResNet50-V2,Convolutional,Expertise,BiT-Expert-ResNet-V2-Abstraction,"ResNet50-V2 trained first via ImageNet21K dataset, then as an expert on the Abstraction subset.",bit_expert,https://tfhub.dev/google/collections/experts/bit/1,,BiT-Expert-ResNet-V2-Abstraction_bit_expert,,,,,,Abstraction,,,,
